Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GI","Burning - Biomass","101","Indonesia","724411","Emissions (CO2eq) from CH4 (Burning biomass)","6797","Other forest","2017","2017","gigagrams","15.6344","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723111","Emissions (CO2eq) (Burning biomass)","6797","Other forest","2012","2012","gigagrams","148.9283","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723111","Emissions (CO2eq) (Burning biomass)","6797","Other forest","2013","2013","gigagrams","34.6929","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723111","Emissions (CO2eq) (Burning biomass)","6797","Other forest","2014","2014","gigagrams","176.0198","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723111","Emissions (CO2eq) (Burning biomass)","6797","Other forest","2015","2015","gigagrams","646.9707","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723111","Emissions (CO2eq) (Burning biomass)","6797","Other forest","2016","2016","gigagrams","22.4972","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723111","Emissions (CO2eq) (Burning biomass)","6797","Other forest","2017","2017","gigagrams","22.4972","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6726","Organic soils","2012","2012","ha","282941.4574","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6726","Organic soils","2013","2013","ha","243802.8035","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6726","Organic soils","2014","2014","ha","714697.1367","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6726","Organic soils","2015","2015","ha","757449.1775","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6726","Organic soils","2016","2016","ha","74726.9469","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7246","Burned Area","6726","Organic soils","2017","2017","ha","74726.9469","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6726","Organic soils","2012","2012","tonnes","99294680.52","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6726","Organic soils","2013","2013","tonnes","85418306.54","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6726","Organic soils","2014","2014","tonnes","247333714","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6726","Organic soils","2015","2015","tonnes","262525034.3","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6726","Organic soils","2016","2016","tonnes","25923965.39","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","7245","Biomass burned (dry matter)","6726","Organic soils","2017","2017","tonnes","25923965.39","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6726","Organic soils","2012","2012","g N20/kg dry matter","0.199","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6726","Organic soils","2013","2013","g N20/kg dry matter","0.1994","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6726","Organic soils","2014","2014","g N20/kg dry matter","0.1992","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6726","Organic soils","2015","2015","g N20/kg dry matter","0.1991","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6726","Organic soils","2016","2016","g N20/kg dry matter","0.1994","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722911","Implied emission factor for N2O (Burning biomass)","6726","Organic soils","2017","2017","g N20/kg dry matter","0.1994","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6726","Organic soils","2012","2012","g CH4/kg dry matter","20.7986","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6726","Organic soils","2013","2013","g CH4/kg dry matter","20.7986","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6726","Organic soils","2014","2014","g CH4/kg dry matter","20.7986","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6726","Organic soils","2015","2015","g CH4/kg dry matter","20.7986","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6726","Organic soils","2016","2016","g CH4/kg dry matter","20.7986","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","722411","Implied emission factor for CH4 (Burning biomass)","6726","Organic soils","2017","2017","g CH4/kg dry matter","20.7986","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","719511","Implied emission factor for CO2","6726","Organic soils","2012","2012","g CO2/kg dry matter","1702.9981","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","719511","Implied emission factor for CO2","6726","Organic soils","2013","2013","g CO2/kg dry matter","1702.9985","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","719511","Implied emission factor for CO2","6726","Organic soils","2014","2014","g CO2/kg dry matter","1702.9982","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","719511","Implied emission factor for CO2","6726","Organic soils","2015","2015","g CO2/kg dry matter","1702.998","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","719511","Implied emission factor for CO2","6726","Organic soils","2016","2016","g CO2/kg dry matter","1702.9983","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","719511","Implied emission factor for CO2","6726","Organic soils","2017","2017","g CO2/kg dry matter","1702.9983","Fc","Calculated data"
"GI","Burning - Biomass","101","Indonesia","723011","Emissions (N2O) (Burning biomass)","6726","Organic soils","2012","2012","gigagrams","19.7633","Fc","Calculated data"
